Country_Code,Country,Continent,GDP_Per_Capita,Population,Bronze_1,Gold_1,Silver_1,Bronze_2,Gold_2,Silver_2,Bronze_3,Gold_3,Silver_3,Bronze_4,Gold_4,Silver_4,Bronze_5,Gold_5,Silver_5,Bronze_6,Gold_6,Silver_6,Bronze_7,Gold_7,Silver_7,Bronze_8,Gold_8,Silver_8,Bronze_9,Gold_9,Silver_9,Bronze_10,Gold_10,Silver_10,Bronze_11,Gold_11,Silver_11,Bronze_12,Gold_12,Silver_12,Bronze_13,Gold_13,Silver_13,Bronze_14,Gold_14,Silver_14,Bronze_15,Gold_15,Silver_15,Bronze_16,Gold_16,Silver_16,Bronze_17,Gold_17,Silver_17,Bronze_18,Gold_18,Silver_18,Bronze_19,Gold_19,Silver_19,Bronze_20,Gold_20,Silver_20,Bronze_21,Gold_21,Silver_21,Bronze_22,Gold_22,Silver_22
AUS,Australia,Oceania,56311,23 781 169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,2,,1,1,,,2,1,1,,2
AUT,Austria,Europe,43775,8 611 088,,3,1,2,,4,,1,1,2,1,2,4,1,3,2,2,4,4,5,3,3,1,2,3,5,9,4,3,8,2,1,2,3,2,2,3,3,2,1,,,4,3,5,10,9,10,7,2,3,12,3,5,13,3,4,7,16,7,6,11,9,11,4,12
BEL,Belgium,Europe,40324,11 285 721,5,,,1,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
BLR,Belarus,Europe,5740,9 513 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,,,,,1,1,1,1,1,5,
BUL,Bulgaria,Europe,6993,7 177 991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,,1,,,1,,,,,,
CAN,Canada,North America,43249,35 851 774,,9,,,12,,5,14,1,,,13,2,18,,1,16,,18,,2,1,3,17,1,4,2,18,1,1,,,1,1,1,1,1,,1,1,2,1,4,,2,3,5,29,5,3,32,7,14,28,15,53,7,11,29,28,8,68,15,5,63,22
CHN,China,Asia,8028,1 371 220 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,1,5,,9,9,2,5,6,2,5,8,9,3,6,3,4
CRO,Croatia,Europe,11536,4 224 404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,1,2,1,,2,,,1
CZE,Czech Republic,Europe,17548,10 551 219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,1,,1,2,25,1,2,7,2,,2,2,7
DEN,Denmark,Europe,51989,5 676 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
ESP,Spain,Europe,25832,46 418 269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
EST,Estonia,Europe,17119,1 311 998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,,,,1,,,
FIN,Finland,Europe,42311,5 482 013,3,4,8,1,2,1,1,1,1,3,4,2,2,1,6,2,6,4,1,5,6,5,5,3,5,3,7,5,1,2,1,,9,1,5,10,6,1,5,12,4,3,5,7,22,6,6,1,30,,1,50,2,7,1,7,5,7,,36,49,,1,25,2,7
FRA,France,Europe,36206,66 808 385,12,,,,2,,,2,,1,,,2,2,1,1,,,,,,2,1,,,3,4,2,4,3,2,,1,1,,,1,,,2,,1,1,1,,1,5,6,10,,1,12,2,1,5,5,5,10,3,2,6,2,6,10,4,4
GBR,United Kingdom,Europe,43876,65 138 232,13,8,4,1,,,,,,4,12,1,2,,,,1,,,,,,,,,2,,,,,,,,,1,,,1,,,2,,,,,,,,3,,,4,,,1,5,,,,1,,1,,6,1,5
GER,Germany,Europe,41313,81 413 145,0,0,0,5,0,0,21,0,0,0,4,3,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,7,4,5,16,9,5,37,14,13,18,16,13,11,16,14,10,14,22,7,14,17,12,18,10,10,22,12,12,26,23,6,23,25,15,15,24,9,15,12
HUN,Hungary,Europe,12364,9 844 686,,,,,,,2,,,2,,,,,2,2,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,Europe,29958,60 802 085,,,,,,,,,,,,,,1,,1,1,,,2,6,1,,,8,,2,,8,,1,3,5,1,1,2,,,3,,2,,5,2,1,8,4,9,12,15,6,5,3,9,6,4,11,14,11,,3,1,1,12,,2
JPN,Japan,Asia,32477,126 958 472,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,1,,,1,1,,,7,3,2,2,3,5,4,8,1,1,,1,,1,,2,,5,6,1,4
KAZ,Kazakhstan,Asia,10510,17 544 126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,1,1,,
KOR,"Korea, South",Asia,27222,50 617 045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,8,1,2,6,4,,5,2,2,14,3,2,6,10,2,7,5
LAT,Latvia,Europe,13649,1 978 440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,6,,5
LIE,Liechtenstein,Europe,,37 531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,Europe,101450,569 676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
NED,Netherlands,Europe,44300,16 936 520,,,,,,,,,,,,,,,,,,3,,,,1,,1,,1,1,3,3,3,2,4,3,3,1,2,1,1,2,,,,2,3,2,2,1,1,3,,1,2,5,4,,3,5,8,3,2,6,4,1,9,13,7
NOR,Norway,Europe,74400,5 195 921,6,4,7,5,6,4,3,3,4,3,7,8,6,4,3,6,7,6,1,2,1,,3,6,6,3,6,2,11,9,7,2,8,1,3,6,9,1,6,4,6,5,5,,6,5,12,11,5,10,19,12,16,16,7,23,11,12,2,9,9,16,15,13,18,5
NZL,New Zealand,Oceania,37808,4 595 700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
POL,Poland,Europe,12555,37 999 494,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,4,1,3,3,4,4
PRK,"Korea, North",Asia,,25 155 317,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
ROU,Romania,Europe,8973,19 832 389,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,Russia,Europe,9093,144 096 812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,13,6,14,33,29,6,5,13,16,12,14,6,5,13,33,22
SLO,Slovenia,Europe,20727,2 063 768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,4,,,,,,1,,2,4,2,2
SUI,Switzerland,Europe,80945,8 286 976,1,8,,12,,,,,8,,4,6,19,4,5,6,,,2,6,2,,2,,,,,7,,2,7,7,3,2,1,6,3,2,4,4,2,2,5,8,7,5,2,,4,4,8,3,6,5,14,3,7,9,5,8,7,6,,22,6,4
SVK,Slovakia,Europe,16088,5 424 050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,
SWE,Sweden,Europe,50580,9 798 871,,1,8,1,2,13,,1,2,6,2,2,3,7,3,23,,,9,2,4,2,5,2,1,6,21,6,3,7,2,1,1,2,,,19,3,,21,7,2,23,7,,6,1,,,23,1,5,,2,24,,2,8,36,21,4,12,3,12,8,35
TCH,Czech Republic,Europe,17548,10 551 219,,,,1,,,,,,,,,,,17,,,,,,,,,1,17,,,1,1,19,19,1,,,,18,1,,,4,,24,5,,1,28,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Europe,2115,45 198 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,3,,,,,,1,4,
URS,Russia,Europe,9093,144 096 812,,,,,,,,,,,,,,,,,,,6,26,5,28,7,7,9,29,8,5,26,6,3,36,6,11,38,7,7,18,29,12,29,15,12,41,14,,,,,,,,,,,,,,,,,,,,,
USA,United States,North America,56116,321 418 820,1,1,11,2,6,6,7,11,27,14,2,,6,6,4,1,4,25,5,2,19,4,19,4,5,1,2,1,1,5,3,3,19,5,3,3,2,24,4,,4,5,4,2,1,2,5,7,6,6,9,5,25,4,15,11,58,33,9,11,22,12,64,24,10,31
UZB,Uzbekistan,Asia,2132,31 299 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
